@relation aux
@attribute Sex {'female','male'}
@attribute DVRT numeric
@attribute Educational_level {'3rd_level_complete','3rd_level_incomplete','Junior_cycle_incomplete-secondary_school','Junior_cycle_incomplete-vocational_school','Junior_cycle_terminal_leaver-secondary_school','Junior_cycle_terminal_leaver-vocational_school','Primary_terminal_leaver','Senior_cycle_incomplete-secondary_school','Senior_cycle_incomplete-vocational_school','Senior_cycle_terminal_leaver-secondary_school'}
@attribute Prestige_score numeric
@attribute Type_school {'primary_terminal_leaver','secondary','vocational'}
@attribute class {'1','2'}
@data
'female',122,'3rd_level_complete',38,'secondary','2'
'female',110,'Senior_cycle_terminal_leaver-secondary_school',40,'secondary','2'
'male',107,'Senior_cycle_terminal_leaver-secondary_school',40,'secondary','2'
'male',104,'3rd_level_complete',75,'secondary','2'
'male',70,'Junior_cycle_terminal_leaver-secondary_school',58,'secondary','1'
'male',116,?,18,'secondary','1'
'male',103,'Primary_terminal_leaver',43,'primary_terminal_leaver','1'
'male',95,'Senior_cycle_terminal_leaver-secondary_school',43,'secondary','2'
'male',113,'Junior_cycle_terminal_leaver-vocational_school',?,'vocational','1'
'male',126,'Junior_cycle_incomplete-vocational_school',61,'vocational','1'
'male',118,'Senior_cycle_terminal_leaver-secondary_school',71,'secondary','2'
'male',115,'Senior_cycle_terminal_leaver-secondary_school',27,'secondary','2'
'male',89,'Junior_cycle_incomplete-vocational_school',43,'vocational','1'
'male',113,'3rd_level_complete',61,'secondary','2'
'male',85,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'male',95,'Senior_cycle_terminal_leaver-secondary_school',43,'secondary','2'
'male',109,'3rd_level_complete',57,'secondary','2'
'male',111,'Senior_cycle_terminal_leaver-secondary_school',69,'secondary','2'
'male',116,'Senior_cycle_terminal_leaver-secondary_school',75,'secondary','2'
'male',90,'Senior_cycle_incomplete-vocational_school',43,'vocational','1'
'male',90,'Junior_cycle_incomplete-vocational_school',28,'vocational','1'
'male',82,'Primary_terminal_leaver',31,'primary_terminal_leaver','1'
'male',84,?,33,'secondary','1'
'male',117,'Senior_cycle_incomplete-vocational_school',28,'vocational','1'
'male',71,'Senior_cycle_incomplete-vocational_school',40,'vocational','1'
'male',104,'3rd_level_incomplete',69,'secondary','2'
'male',86,'Junior_cycle_incomplete-vocational_school',18,'vocational','1'
'male',79,'Junior_cycle_terminal_leaver-vocational_school',46,'vocational','1'
'male',80,'Junior_cycle_terminal_leaver-vocational_school',65,'vocational','1'
'male',99,'Senior_cycle_terminal_leaver-secondary_school',18,'secondary','2'
'male',86,'Junior_cycle_incomplete-vocational_school',61,'vocational','1'
'male',116,'3rd_level_complete',18,'secondary','2'
'male',124,'Senior_cycle_terminal_leaver-secondary_school',65,'secondary','2'
'male',98,'Primary_terminal_leaver',28,'primary_terminal_leaver','1'
'male',101,'Junior_cycle_terminal_leaver-secondary_school',35,'secondary','1'
'male',87,'Primary_terminal_leaver',43,'primary_terminal_leaver','1'
'male',97,'3rd_level_complete',40,'secondary','2'
'male',120,'3rd_level_complete',43,'secondary','2'
'male',103,'Senior_cycle_terminal_leaver-secondary_school',43,'secondary','2'
'male',107,'Senior_cycle_terminal_leaver-secondary_school',40,'secondary','2'
'male',105,'Senior_cycle_incomplete-secondary_school',57,'secondary','1'
'male',99,'Senior_cycle_terminal_leaver-secondary_school',37,'vocational','2'
'male',103,'Senior_cycle_terminal_leaver-secondary_school',28,'vocational','2'
'male',101,'Junior_cycle_incomplete-secondary_school',28,'secondary','1'
'female',102,'Junior_cycle_terminal_leaver-secondary_school',18,'secondary','1'
'female',105,'Senior_cycle_terminal_leaver-secondary_school',18,'vocational','2'
'female',70,'Junior_cycle_incomplete-vocational_school',18,'vocational','1'
'female',101,'3rd_level_complete',43,'secondary','2'
'female',90,'Senior_cycle_terminal_leaver-secondary_school',42,'vocational','2'
'female',85,'Senior_cycle_terminal_leaver-secondary_school',43,'secondary','2'
'female',104,'Senior_cycle_terminal_leaver-secondary_school',18,'secondary','2'
'female',87,'Senior_cycle_terminal_leaver-secondary_school',18,'vocational','2'
'female',85,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'female',102,'Junior_cycle_terminal_leaver-vocational_school',42,'vocational','1'
'female',94,'Junior_cycle_terminal_leaver-secondary_school',37,'secondary','1'
'female',93,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'female',99,'3rd_level_complete',37,'secondary','2'
'female',103,'Senior_cycle_terminal_leaver-secondary_school',38,'secondary','2'
'female',89,'Junior_cycle_terminal_leaver-secondary_school',18,'secondary','1'
'female',77,'Primary_terminal_leaver',?,'primary_terminal_leaver','1'
'female',92,'Junior_cycle_terminal_leaver-vocational_school',37,'vocational','1'
'female',109,'Senior_cycle_terminal_leaver-secondary_school',43,'secondary','2'
'female',91,'Junior_cycle_terminal_leaver-secondary_school',18,'secondary','1'
'female',109,'Senior_cycle_terminal_leaver-secondary_school',58,'secondary','2'
'female',105,'Junior_cycle_incomplete-secondary_school',57,'secondary','1'
'female',105,'Senior_cycle_terminal_leaver-secondary_school',18,'secondary','2'
'female',90,'Junior_cycle_terminal_leaver-secondary_school',69,'secondary','1'
'female',99,'3rd_level_complete',69,'secondary','2'
'female',110,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'female',88,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'female',101,'Senior_cycle_terminal_leaver-secondary_school',66,'secondary','2'
'female',91,'Junior_cycle_incomplete-vocational_school',18,'vocational','1'
'female',78,'Senior_cycle_terminal_leaver-secondary_school',18,'secondary','2'
'female',118,'3rd_level_complete',65,'secondary','2'
'female',100,'Primary_terminal_leaver',28,'primary_terminal_leaver','1'
'female',100,'Junior_cycle_terminal_leaver-vocational_school',18,'vocational','1'
'female',85,'Senior_cycle_terminal_leaver-secondary_school',57,'secondary','2'
'female',106,'3rd_level_complete',61,'secondary','2'
'female',70,'Junior_cycle_incomplete-vocational_school',?,'vocational','1'
'female',97,'Junior_cycle_incomplete-vocational_school',18,'vocational','1'
'female',86,'Primary_terminal_leaver',?,'primary_terminal_leaver','1'
'female',92,'Junior_cycle_incomplete-vocational_school',18,'vocational','1'
'female',102,'Primary_terminal_leaver',38,'primary_terminal_leaver','1'
'female',86,'Junior_cycle_incomplete-vocational_school',18,'vocational','1'
'female',78,'Senior_cycle_terminal_leaver-secondary_school',46,'secondary','2'
'female',100,'Junior_cycle_incomplete-vocational_school',18,'vocational','1'
'male',104,'Senior_cycle_terminal_leaver-secondary_school',61,'secondary','2'
'male',70,'Junior_cycle_terminal_leaver-secondary_school',31,'secondary','1'
'male',107,'Senior_cycle_terminal_leaver-secondary_school',75,'secondary','2'
'male',114,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'male',103,'Junior_cycle_incomplete-vocational_school',31,'vocational','1'
'male',115,'Junior_cycle_terminal_leaver-secondary_school',37,'secondary','1'
'male',106,'Senior_cycle_terminal_leaver-secondary_school',57,'secondary','2'
'male',114,'Senior_cycle_terminal_leaver-secondary_school',61,'secondary','2'
'male',90,'Senior_cycle_terminal_leaver-secondary_school',58,'secondary','2'
'male',103,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'male',92,'Junior_cycle_incomplete-secondary_school',58,'secondary','1'
'male',113,'3rd_level_complete',37,'secondary','2'
'male',92,'Junior_cycle_terminal_leaver-secondary_school',37,'secondary','1'
'male',108,'3rd_level_complete',37,'secondary','2'
'male',96,'Junior_cycle_incomplete-secondary_school',18,'secondary','1'
'male',70,'Junior_cycle_incomplete-secondary_school',18,'secondary','1'
'male',112,'Senior_cycle_terminal_leaver-secondary_school',75,'secondary','2'
'male',106,'Senior_cycle_terminal_leaver-secondary_school',28,'secondary','2'
'male',91,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'male',96,'Junior_cycle_terminal_leaver-vocational_school',18,'vocational','1'
'male',70,'Primary_terminal_leaver',18,'primary_terminal_leaver','1'
'male',109,'Senior_cycle_terminal_leaver-secondary_school',57,'secondary','2'
'male',74,'Junior_cycle_terminal_leaver-vocational_school',37,'vocational','1'
'male',99,'Junior_cycle_incomplete-secondary_school',43,'secondary','1'
'male',107,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'male',90,'Junior_cycle_terminal_leaver-secondary_school',37,'secondary','1'
'male',78,'Junior_cycle_terminal_leaver-vocational_school',31,'vocational','1'
'male',70,'Primary_terminal_leaver',37,'primary_terminal_leaver','1'
'male',88,'Junior_cycle_incomplete-vocational_school',58,'vocational','1'
'male',93,'Junior_cycle_terminal_leaver-vocational_school',18,'vocational','1'
'male',88,'Junior_cycle_incomplete-vocational_school',43,'vocational','1'
'male',108,'Senior_cycle_terminal_leaver-secondary_school',58,'secondary','2'
'male',101,'3rd_level_complete',57,'secondary','2'
'male',98,'Junior_cycle_incomplete-vocational_school',28,'vocational','1'
'male',103,'Senior_cycle_terminal_leaver-secondary_school',35,'secondary','2'
'male',73,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'male',109,?,43,'secondary','1'
'male',102,'Junior_cycle_terminal_leaver-vocational_school',37,'vocational','1'
'male',93,'Junior_cycle_incomplete-vocational_school',37,'vocational','1'
'male',93,'Junior_cycle_incomplete-vocational_school',18,'vocational','1'
'male',101,'Senior_cycle_terminal_leaver-secondary_school',61,'secondary','2'
'male',100,'Senior_cycle_incomplete-vocational_school',37,'vocational','1'
'male',70,'Primary_terminal_leaver',31,'primary_terminal_leaver','1'
'male',102,'Junior_cycle_incomplete-vocational_school',18,'vocational','1'
'male',113,'Junior_cycle_terminal_leaver-vocational_school',28,'vocational','1'
'male',91,'Junior_cycle_terminal_leaver-secondary_school',37,'secondary','1'
'male',109,'Junior_cycle_terminal_leaver-secondary_school',37,'secondary','1'
'male',80,'Primary_terminal_leaver',58,'primary_terminal_leaver','1'
'male',118,'Senior_cycle_terminal_leaver-secondary_school',18,'vocational','2'
'male',70,'Primary_terminal_leaver',58,'primary_terminal_leaver','1'
'male',88,'Junior_cycle_terminal_leaver-vocational_school',37,'vocational','1'
'male',72,'Junior_cycle_terminal_leaver-vocational_school',37,'vocational','1'
'male',81,'Senior_cycle_terminal_leaver-secondary_school',58,'secondary','2'
'male',70,'Junior_cycle_incomplete-vocational_school',37,'vocational','1'
'male',97,'Junior_cycle_incomplete-vocational_school',18,'vocational','1'
'male',87,'Senior_cycle_terminal_leaver-secondary_school',40,'secondary','2'
'male',99,'Junior_cycle_terminal_leaver-vocational_school',18,'vocational','1'
'male',81,'Primary_terminal_leaver',18,'primary_terminal_leaver','1'
'male',84,'Junior_cycle_terminal_leaver-vocational_school',18,'vocational','1'
'male',90,'Junior_cycle_incomplete-vocational_school',58,'vocational','1'
'male',95,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'male',84,'Junior_cycle_incomplete-vocational_school',61,'vocational','1'
'male',104,'Senior_cycle_incomplete-vocational_school',40,'vocational','1'
'male',105,'Junior_cycle_incomplete-vocational_school',31,'vocational','1'
'male',107,'Junior_cycle_incomplete-secondary_school',58,'secondary','1'
'male',84,'Junior_cycle_incomplete-vocational_school',40,'vocational','1'
'male',108,'Junior_cycle_terminal_leaver-vocational_school',?,'vocational','1'
'male',70,'Senior_cycle_incomplete-vocational_school',18,'vocational','1'
'male',99,'3rd_level_complete',37,'secondary','2'
'male',87,'Senior_cycle_terminal_leaver-secondary_school',18,'secondary','2'
'male',81,'Primary_terminal_leaver',18,'primary_terminal_leaver','1'
'male',103,'Senior_cycle_terminal_leaver-secondary_school',43,'secondary','2'
'male',114,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'male',101,'Senior_cycle_terminal_leaver-secondary_school',35,'secondary','2'
'male',70,'Primary_terminal_leaver',58,'primary_terminal_leaver','1'
'male',70,'Junior_cycle_terminal_leaver-vocational_school',?,'vocational','1'
'male',109,'Senior_cycle_terminal_leaver-secondary_school',?,'secondary','2'
'male',78,'Senior_cycle_terminal_leaver-secondary_school',58,'vocational','2'
'male',70,'Primary_terminal_leaver',37,'primary_terminal_leaver','1'
'male',70,'Junior_cycle_terminal_leaver-vocational_school',58,'vocational','1'
'male',104,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'male',86,'Primary_terminal_leaver',18,'primary_terminal_leaver','1'
'male',99,'Junior_cycle_terminal_leaver-vocational_school',35,'vocational','1'
'male',98,'Junior_cycle_terminal_leaver-vocational_school',58,'vocational','1'
'male',118,'Junior_cycle_terminal_leaver-vocational_school',18,'vocational','1'
'male',76,'Junior_cycle_incomplete-vocational_school',?,'vocational','1'
'male',102,'Junior_cycle_incomplete-secondary_school',18,'secondary','1'
'male',106,'Junior_cycle_terminal_leaver-vocational_school',37,'vocational','1'
'male',108,'Junior_cycle_terminal_leaver-vocational_school',35,'vocational','1'
'male',110,'Senior_cycle_incomplete-vocational_school',37,'vocational','1'
'male',110,'Junior_cycle_terminal_leaver-vocational_school',37,'vocational','1'
'male',89,'Senior_cycle_incomplete-vocational_school',28,'vocational','1'
'male',83,'Junior_cycle_terminal_leaver-vocational_school',18,'vocational','1'
'male',96,'Junior_cycle_terminal_leaver-secondary_school',37,'secondary','1'
'male',113,'3rd_level_complete',65,'secondary','2'
'male',95,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'male',108,'Junior_cycle_terminal_leaver-vocational_school',38,'vocational','1'
'male',96,'Junior_cycle_terminal_leaver-secondary_school',28,'secondary','1'
'male',79,'Senior_cycle_incomplete-secondary_school',61,'secondary','1'
'female',99,'Junior_cycle_terminal_leaver-secondary_school',37,'secondary','1'
'female',107,'3rd_level_complete',37,'secondary','2'
'female',94,'Junior_cycle_incomplete-vocational_school',37,'vocational','1'
'female',88,'Junior_cycle_terminal_leaver-secondary_school',37,'secondary','1'
'female',82,'Junior_cycle_terminal_leaver-secondary_school',57,'secondary','1'
'female',100,'Senior_cycle_terminal_leaver-secondary_school',57,'secondary','2'
'female',102,'Senior_cycle_terminal_leaver-secondary_school',40,'secondary','2'
'female',111,'Senior_cycle_terminal_leaver-secondary_school',58,'secondary','2'
'female',111,'Senior_cycle_terminal_leaver-secondary_school',57,'secondary','2'
'female',94,'Primary_terminal_leaver',58,'primary_terminal_leaver','1'
'female',94,'Senior_cycle_terminal_leaver-secondary_school',18,'secondary','2'
'female',93,'Junior_cycle_terminal_leaver-vocational_school',18,'vocational','1'
'female',90,'Senior_cycle_terminal_leaver-secondary_school',58,'secondary','2'
'female',84,'Junior_cycle_terminal_leaver-secondary_school',18,'secondary','1'
'female',100,'Junior_cycle_terminal_leaver-vocational_school',27,'vocational','1'
'female',106,'Senior_cycle_terminal_leaver-secondary_school',51,'secondary','2'
'female',114,'3rd_level_incomplete',57,'secondary','2'
'female',101,'Senior_cycle_terminal_leaver-secondary_school',?,'secondary','2'
'female',115,'Senior_cycle_terminal_leaver-secondary_school',43,'secondary','2'
'female',108,'Senior_cycle_terminal_leaver-secondary_school',58,'secondary','2'
'female',117,'3rd_level_complete',51,'secondary','2'
'female',110,'Junior_cycle_terminal_leaver-secondary_school',28,'secondary','1'
'female',93,'Senior_cycle_terminal_leaver-secondary_school',43,'secondary','2'
'female',114,'3rd_level_complete',?,'secondary','2'
'female',72,'Primary_terminal_leaver',?,'primary_terminal_leaver','1'
'female',116,'Senior_cycle_terminal_leaver-secondary_school',?,'secondary','2'
'female',117,'3rd_level_complete',37,'secondary','2'
'female',102,'Senior_cycle_terminal_leaver-secondary_school',40,'secondary','2'
'female',84,'Senior_cycle_terminal_leaver-secondary_school',18,'secondary','2'
'female',94,'Junior_cycle_incomplete-secondary_school',28,'secondary','1'
'female',81,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'female',101,'Junior_cycle_terminal_leaver-secondary_school',18,'secondary','1'
'female',91,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'female',93,'Senior_cycle_terminal_leaver-secondary_school',38,'secondary','2'
'female',116,'Senior_cycle_terminal_leaver-secondary_school',18,'secondary','2'
'female',90,'Senior_cycle_terminal_leaver-secondary_school',57,'secondary','2'
'female',115,'Senior_cycle_terminal_leaver-secondary_school',35,'secondary','2'
'female',89,'Primary_terminal_leaver',18,'primary_terminal_leaver','1'
'female',108,'3rd_level_complete',37,'secondary','2'
'female',100,'Senior_cycle_terminal_leaver-secondary_school',18,'secondary','2'
'female',86,'Junior_cycle_terminal_leaver-vocational_school',37,'vocational','1'
'female',84,'Junior_cycle_terminal_leaver-secondary_school',37,'secondary','1'
'female',90,'Junior_cycle_terminal_leaver-vocational_school',37,'vocational','1'
'female',103,'3rd_level_complete',28,'secondary','2'
'female',100,'Senior_cycle_terminal_leaver-secondary_school',57,'secondary','2'
'female',102,'Senior_cycle_terminal_leaver-secondary_school',43,'secondary','2'
'female',82,'Junior_cycle_terminal_leaver-secondary_school',35,'secondary','1'
'female',83,'Junior_cycle_terminal_leaver-secondary_school',37,'secondary','1'
'female',113,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
'female',117,'3rd_level_complete',57,'secondary','2'
'female',111,'Senior_cycle_terminal_leaver-secondary_school',18,'secondary','2'
'female',100,'Senior_cycle_terminal_leaver-secondary_school',37,'secondary','2'
