@relation aux
@attribute col_2 numeric
@attribute col_3 numeric
@attribute col_4 numeric
@attribute col_6 numeric
@attribute col_7 numeric
@attribute col_8 numeric
@attribute col_9 numeric
@attribute col_10 numeric
@attribute class {'1','2'}
@data
6,120,5,1,159,8,72,20,'2'
10,114,14,0,160,8,98,23,'1'
8,94,9,0,161,7,132,15,'1'
12,96,16,1,162,9,198,33,'2'
10,68,11,1,163,6,68,10,'2'
8,40,8,0,164,12,167,28,'1'
6,126,11,0,165,9,127,20,'1'
5,95,11,1,166,14,135,23,'2'
14,124,28,1,167,12,186,30,'2'
4,60,9,0,168,7,218,22,'1'
13,107,22,0,169,12,189,23,'1'
3,24,5,1,170,10,205,28,'2'
12,90,17,1,171,12,192,17,'2'
9,169,22,0,172,11,199,30,'1'
18,129,33,0,173,12,171,20,'1'
10,62,20,1,174,12,192,33,'2'
15,107,22,1,175,12,150,21,'2'
10,62,19,0,176,8,175,25,'1'
12,84,11,0,177,10,156,22,'1'
10,61,17,1,178,11,137,17,'2'
10,86,17,1,179,14,157,19,'2'
12,179,22,0,180,9,93,16,'1'
10,61,16,0,181,13,197,19,'1'
6,72,16,1,182,6,48,14,'2'
11,113,25,1,183,11,236,19,'2'
6,91,14,0,184,12,160,17,'1'
11,227,36,0,185,18,196,51,'1'
7,44,11,1,186,9,69,11,'2'
6,80,15,1,187,8,222,20,'2'
6,65,14,0,188,12,308,25,'1'
6,49,11,0,189,15,244,39,'1'
3,110,16,1,190,11,98,15,'2'
2,46,7,1,191,9,153,16,'2'
12,78,11,0,192,12,456,33,'1'
6,54,17,0,193,12,291,25,'1'
13,149,23,1,194,12,126,17,'2'
10,108,22,1,195,9,84,11,'2'
12,252,44,0,196,14,172,22,'1'
9,167,28,0,197,14,170,25,'1'
6,81,11,1,198,15,218,25,'2'
4,53,7,1,199,18,255,39,'2'
12,102,17,0,200,11,144,25,'1'
6,6,5,0,201,12,247,27,'1'
10,109,22,1,202,15,271,35,'2'
7,69,8,1,203,8,118,23,'2'
9,213,23,0,204,9,275,28,'1'
12,168,36,0,205,12,286,30,'1'
9,93,17,1,206,4,104,14,'2'
10,110,17,1,207,8,168,20,'2'
13,81,21,0,208,11,275,32,'1'
11,121,22,0,209,16,354,51,'1'
16,68,22,1,210,6,96,17,'2'
12,131,28,1,211,8,176,22,'2'
10,96,15,0,212,6,74,14,'1'
12,339,47,0,213,8,187,21,'1'
5,59,8,1,214,6,51,11,'2'
12,114,14,1,215,7,197,20,'2'
10,127,22,0,216,7,85,19,'1'
15,155,20,0,217,10,243,36,'1'
15,195,37,1,218,8,119,27,'2'
17,185,25,1,219,12,288,54,'2'
6,23,5,0,220,10,495,20,'1'
7,60,11,0,221,7,151,28,'1'
11,126,20,1,222,12,870,11,'2'
8,102,14,1,223,2,14,2,'2'
11,165,16,0,?,?,?,?,'2'
11,189,23,0,?,?,?,?,'2'
11,182,20,1,?,?,?,?,'2'
15,270,21,1,?,?,?,?,'2'
10,252,28,0,?,?,?,?,'2'
