@relation aux
@attribute Sexe {'Femme','Homme'}
@attribute Origine_Ethnique {'Caucasien','Maghreb Moyen Orient','Afrique sub saharienne','Hispanique','Metisse','Afro Americain','Asie du Sud est'}
@attribute Age numeric
@attribute Poids numeric
@attribute Taille numeric
@attribute pain_biscottes_cereales {'Une fois par jour','Plusieurs fois par jour','Jamais','Plusieurs fois par semaine','Occasionnellement'}
@attribute riz_pates_semoule_pommes_de_terre {'Une fois par jour','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par semaine','Jamais'}
@attribute legumes_secs {'Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Jamais','Plusieurs fois par jour'}
@attribute legumes {'Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Jamais'}
@attribute fruits {'Plusieurs fois par jour','Plusieurs fois par semaine','Une fois par jour','Occasionnellement','Jamais'}
@attribute produits_laitiers {'Plusieurs fois par jour','Occasionnellement','Une fois par jour','Plusieurs fois par semaine','Jamais'}
@attribute viande_ou_oeufs {'Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par jour','Occasionnellement','Jamais'}
@attribute poisson {'Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Jamais','Plusieurs fois par jour'}
@attribute plats_prets_a_consommer {'Jamais','Occasionnellement','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par jour'}
@attribute produits_sucres {'Jamais','Occasionnellement','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par jour'}
@attribute biscuits_aperitif {'Occasionnellement','Jamais','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par jour'}
@attribute complements_alimentaires {'Plusieurs fois par semaine','Plusieurs fois par jour','Jamais','Une fois par jour','Occasionnellement'}
@attribute boissons_sucrees {'Jamais','Occasionnellement','Plusieurs fois par semaine','Plusieurs fois par jour','Une fois par jour'}
@attribute boissons_alcoolisees {'Plusieurs fois par semaine','Occasionnellement','Jamais','Plusieurs fois par jour','Une fois par jour'}
@attribute class {'1','2'}
@data
'Homme',?,7,24,120,'Une fois par jour','Plusieurs fois par jour','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Jamais','Occasionnellement','Jamais','1'
'Femme',?,10,32,135,'Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Une fois par jour','Une fois par jour','Une fois par jour','Occasionnellement','Occasionnellement','Occasionnellement','Une fois par jour','Occasionnellement','Jamais','Plusieurs fois par jour','Jamais','1'
'Femme',?,9,32,135,'Plusieurs fois par jour','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Une fois par jour','Plusieurs fois par jour','Occasionnellement','Occasionnellement','Occasionnellement','Une fois par jour','Occasionnellement','Jamais','Plusieurs fois par jour','Jamais','1'
'Femme','Maghreb Moyen Orient',12,38,145,'Plusieurs fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par semaine','Occasionnellement','Jamais','Une fois par jour','Jamais','1'
'Femme',?,6,25,120,'Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Jamais','Plusieurs fois par semaine','Occasionnellement','Jamais','Plusieurs fois par semaine','Jamais','1'
'Femme',?,9,32,135,'Plusieurs fois par jour','Une fois par jour','Une fois par jour','Une fois par jour','Une fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Occasionnellement','Plusieurs fois par jour','Une fois par jour','Jamais','Une fois par jour','Jamais','1'
'Homme',?,9,21,132,'Plusieurs fois par semaine','Plusieurs fois par semaine','Jamais','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par jour','Occasionnellement','Jamais','Plusieurs fois par jour','Occasionnellement','Jamais','Occasionnellement','Jamais','1'
'Homme',?,9,26,132,'Plusieurs fois par jour','Plusieurs fois par jour','Jamais','Occasionnellement','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par jour','Occasionnellement','Occasionnellement','Plusieurs fois par jour','Occasionnellement','Jamais','Occasionnellement','Jamais','1'
'Femme','Caucasien',21,70,175,'Occasionnellement','Plusieurs fois par semaine','Plusieurs fois par semaine','Une fois par jour','Une fois par jour','Une fois par jour','Plusieurs fois par jour','Occasionnellement','Jamais','Plusieurs fois par semaine','Occasionnellement','Jamais','Jamais','Jamais','1'
'Femme','Caucasien',44,52,160,'Plusieurs fois par jour','Plusieurs fois par jour','Occasionnellement','Plusieurs fois par jour','Occasionnellement','Une fois par jour','Occasionnellement','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par semaine','Occasionnellement','Jamais','Occasionnellement','Occasionnellement','1'
'Homme','Afrique sub saharienne',10,35,140,'Plusieurs fois par semaine','Plusieurs fois par semaine','Jamais','Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Jamais','Occasionnellement','Occasionnellement','Plusieurs fois par jour','Jamais','Une fois par jour','Jamais','1'
'Homme','Caucasien',12,36,150,'Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Occasionnellement','Jamais','Occasionnellement','Plusieurs fois par semaine','Jamais','Plusieurs fois par jour','Jamais','1'
'Femme','Caucasien',10,38,143,'Plusieurs fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par jour','Une fois par jour','Une fois par jour','Une fois par jour','Occasionnellement','Occasionnellement','Une fois par jour','Une fois par jour','Jamais','Occasionnellement','Jamais','1'
'Femme','Maghreb Moyen Orient',12,150,40,'Plusieurs fois par jour','Plusieurs fois par jour','Occasionnellement','Jamais','Une fois par jour','Une fois par jour','Une fois par jour','Occasionnellement','Jamais','Plusieurs fois par jour','Occasionnellement','Jamais','Plusieurs fois par semaine','Jamais','2'
'Femme','Caucasien',70,75,171,'Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Occasionnellement','Une fois par jour','Jamais','Jamais','Jamais','Jamais','Jamais','Une fois par jour','2'
'Homme','Caucasien',12,30,138,'Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par semaine','Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Jamais','Plusieurs fois par jour','Occasionnellement','Jamais','Occasionnellement','Jamais','1'
'Femme','Caucasien',10,29,135,'Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Plusieurs fois par jour','Une fois par jour','Occasionnellement','Occasionnellement','Jamais','Plusieurs fois par jour','Occasionnellement','Jamais','Occasionnellement','Jamais','1'
'Homme','Caucasien',69,75,173,'Plusieurs fois par jour','Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Jamais','Plusieurs fois par jour','Jamais','Jamais','Jamais','Une fois par jour','2'
'Femme','Caucasien',67,54,160,'Plusieurs fois par jour','Une fois par jour','Une fois par jour','Une fois par jour','Une fois par jour','Plusieurs fois par jour','Une fois par jour','Une fois par jour','Jamais','Plusieurs fois par semaine','Jamais','Une fois par jour','Jamais','Occasionnellement','1'
'Homme','Caucasien',69,75,173,'Plusieurs fois par jour','Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Jamais','Plusieurs fois par jour','Jamais','Jamais','Jamais','Une fois par jour','2'
'Femme','Caucasien',23,60,170,'Plusieurs fois par jour','Une fois par jour','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par semaine','Jamais','Plusieurs fois par semaine','Plusieurs fois par semaine','1'
'Homme','Caucasien',28,75,178,'Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par semaine','Occasionnellement','1'
'Femme','Maghreb Moyen Orient',14,50,163,'Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Occasionnellement','Jamais','Occasionnellement','Occasionnellement','Jamais','Occasionnellement','Jamais','1'
'Femme','Maghreb Moyen Orient',13,40,160,'Une fois par jour','Plusieurs fois par semaine','Jamais','Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Occasionnellement','Plusieurs fois par semaine','Jamais','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Occasionnellement','Jamais','1'
'Femme','Maghreb Moyen Orient',10,27,135,'Plusieurs fois par jour','Plusieurs fois par semaine','Jamais','Occasionnellement','Plusieurs fois par semaine','Plusieurs fois par jour','Une fois par jour','Occasionnellement','Jamais','Plusieurs fois par jour','Occasionnellement','Jamais','Occasionnellement','Jamais','1'
'Femme','Afrique sub saharienne',37,55,155,'Plusieurs fois par jour','Plusieurs fois par semaine','Une fois par jour','Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par semaine','Jamais','Plusieurs fois par semaine','Occasionnellement','Jamais','Occasionnellement','Jamais','1'
'Femme','Caucasien',7,23,115,'Plusieurs fois par jour','Une fois par jour','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Occasionnellement','Occasionnellement','Une fois par jour','Occasionnellement','Occasionnellement','Une fois par jour','Jamais','1'
'Homme','Caucasien',24,70,187,'Plusieurs fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par semaine','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par jour','Occasionnellement','Occasionnellement','Plusieurs fois par jour','Occasionnellement','1'
'Homme','Caucasien',25,75,181,'Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Une fois par jour','Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Occasionnellement','Jamais','Occasionnellement','Plusieurs fois par semaine','1'
'Femme','Caucasien',18,55,162,'Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par semaine','Jamais','Jamais','Plusieurs fois par semaine','Plusieurs fois par semaine','Jamais','Plusieurs fois par semaine','Plusieurs fois par semaine','1'
'Homme','Caucasien',22,62,175,'Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Une fois par jour','Une fois par jour','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par jour','Occasionnellement','Occasionnellement','Une fois par jour','Occasionnellement','1'
'Femme','Caucasien',15,60,170,'Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Plusieurs fois par semaine','Jamais','Plusieurs fois par semaine','Jamais','1'
'Femme','Caucasien',42,54,168,'Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Plusieurs fois par semaine','Occasionnellement','Jamais','Occasionnellement','Occasionnellement','1'
'Femme','Caucasien',61,62,157,'Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Jamais','Occasionnellement','Occasionnellement','Jamais','Jamais','Occasionnellement','2'
'Homme','Caucasien',64,77,172,'Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par semaine','Jamais','Plusieurs fois par semaine','Occasionnellement','Jamais','Jamais','Plusieurs fois par semaine','2'
'Homme','Caucasien',47,67,188,'Une fois par jour','Plusieurs fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Plusieurs fois par semaine','Jamais','Une fois par jour','Occasionnellement','1'
'Homme','Maghreb Moyen Orient',11,31,140,'Plusieurs fois par jour','Une fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Une fois par jour','Une fois par jour','Une fois par jour','Une fois par jour','Plusieurs fois par jour','Une fois par jour','Jamais','1'
'Femme','Caucasien',15,45,160,'Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Une fois par jour','Une fois par jour','Plusieurs fois par jour','Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Occasionnellement','Une fois par jour','Occasionnellement','Jamais','1'
'Femme','Caucasien',39,76,173,'Une fois par jour','Une fois par jour','Occasionnellement','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par jour','Une fois par jour','Une fois par jour','Occasionnellement','Occasionnellement','Occasionnellement','Occasionnellement','Occasionnellement','Occasionnellement','2'
'Femme','Caucasien',24,58,165,'Plusieurs fois par semaine','Plusieurs fois par semaine','Jamais','Plusieurs fois par semaine','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Jamais','Une fois par jour','Plusieurs fois par semaine','1'
'Homme','Caucasien',12,38,145,'Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Jamais','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par semaine','Jamais','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par jour','Jamais','Plusieurs fois par jour','Jamais','1'
'Homme','Caucasien',63,80,180,'Une fois par jour','Une fois par jour','Occasionnellement','Une fois par jour','Une fois par jour','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Une fois par jour','Occasionnellement','Jamais','Jamais','Une fois par jour','1'
'Femme','Caucasien',48,60,160,'Plusieurs fois par jour','Une fois par jour','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Plusieurs fois par semaine','Plusieurs fois par semaine','Jamais','Occasionnellement','Plusieurs fois par semaine','1'
'Homme','Afrique sub saharienne',4,15,100,'Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Occasionnellement','Occasionnellement','Une fois par jour','Occasionnellement','Une fois par jour','Occasionnellement','Occasionnellement','Une fois par jour','Jamais','1'
'Femme','Caucasien',11,25,135,'Plusieurs fois par semaine','Plusieurs fois par semaine','Jamais','Plusieurs fois par semaine','Plusieurs fois par semaine','Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par jour','Occasionnellement','Jamais','Une fois par jour','Jamais','1'
'Femme','Caucasien',46,54,160,'Jamais','Une fois par jour','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Une fois par jour','Occasionnellement','1'
'Femme','Caucasien',12,46,160,'Plusieurs fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par jour','Une fois par jour','Jamais','Plusieurs fois par jour','Occasionnellement','1'
'Femme','Caucasien',22,59,163,'Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Occasionnellement','Plusieurs fois par semaine','1'
'Homme','Caucasien',59,96,179,'Plusieurs fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Occasionnellement','Occasionnellement','Occasionnellement','Occasionnellement','Jamais','Occasionnellement','Plusieurs fois par semaine','2'
'Homme','Caucasien',45,82,176,'Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Une fois par jour','Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Occasionnellement','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Une fois par jour','2'
'Femme','Caucasien',14,56,153,'Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Occasionnellement','Plusieurs fois par semaine','Une fois par jour','Occasionnellement','Occasionnellement','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Jamais','1'
'Homme','Caucasien',35,100,169,'Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Occasionnellement','Occasionnellement','Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Occasionnellement','Occasionnellement','2'
'Homme','Maghreb Moyen Orient',37,90,180,'Plusieurs fois par semaine','Une fois par jour','Jamais','Une fois par jour','Une fois par jour','Une fois par jour','Une fois par jour','Une fois par jour','Jamais','Une fois par jour','Une fois par jour','Jamais','Plusieurs fois par jour','Jamais','2'
'Homme','Caucasien',48,65,178,'Occasionnellement','Une fois par jour','Occasionnellement','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par jour','Une fois par jour','Occasionnellement','Occasionnellement','Occasionnellement','Occasionnellement','Jamais','Plusieurs fois par semaine','Occasionnellement','1'
'Femme','Caucasien',50,75,170,'Une fois par jour','Occasionnellement','Plusieurs fois par semaine','Plusieurs fois par jour','Plusieurs fois par jour','Occasionnellement','Occasionnellement','Occasionnellement','Jamais','Jamais','Jamais','Jamais','Jamais','Jamais','2'
'Femme','Caucasien',60,56,170,'Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Plusieurs fois par semaine','Jamais','Occasionnellement','Plusieurs fois par semaine','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Occasionnellement','Une fois par jour','Jamais','Occasionnellement','1'
'Femme','Caucasien',35,55,160,'Plusieurs fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Occasionnellement','Occasionnellement','1'
'Femme','Caucasien',6,17,110,'Une fois par jour','Une fois par jour','Une fois par jour','Une fois par jour','Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par semaine','Occasionnellement','Jamais','Plusieurs fois par semaine','Jamais','1'
'Femme','Caucasien',10,24,130,'Une fois par jour','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par semaine','Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Jamais','Occasionnellement','Jamais','Jamais','Une fois par jour','Jamais','1'
'Femme','Caucasien',7,32,143,'Jamais','Occasionnellement','Occasionnellement','Plusieurs fois par semaine','Plusieurs fois par semaine','Une fois par jour','Une fois par jour','Occasionnellement','Jamais','Occasionnellement','Occasionnellement','Jamais','Jamais','Jamais','1'
'Femme','Caucasien',26,120,169,'Occasionnellement','Une fois par jour','Une fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Occasionnellement','Occasionnellement','Une fois par jour','Une fois par jour','Jamais','Occasionnellement','Plusieurs fois par semaine','2'
'Homme','Caucasien',24,77,179,'Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par jour','Une fois par jour','Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Une fois par jour','Occasionnellement','Jamais','Jamais','Occasionnellement','Plusieurs fois par semaine','1'
'Femme',?,13,35,160,'Une fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Occasionnellement','Jamais','Une fois par jour','Une fois par jour','Jamais','Jamais','Plusieurs fois par semaine','Plusieurs fois par jour','Occasionnellement','Plusieurs fois par jour','Jamais','1'
'Homme','Caucasien',21,75,184,'Jamais','Plusieurs fois par jour','Occasionnellement','Occasionnellement','Plusieurs fois par semaine','Jamais','Une fois par jour','Occasionnellement','Jamais','Plusieurs fois par jour','Une fois par jour','Jamais','Plusieurs fois par jour','Plusieurs fois par semaine','1'
'Homme','Caucasien',8,35,154,'Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par jour','Une fois par jour','Une fois par jour','Occasionnellement','Occasionnellement','Occasionnellement','Occasionnellement','Jamais','Plusieurs fois par jour','Jamais','1'
'Homme','Caucasien',52,76,175,'Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par semaine','Une fois par jour','Occasionnellement','Occasionnellement','Jamais','Occasionnellement','Occasionnellement','Jamais','Occasionnellement','Occasionnellement','1'
'Homme','Maghreb Moyen Orient',12,32,150,'Plusieurs fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par semaine','Occasionnellement','Jamais','Plusieurs fois par jour','Occasionnellement','Jamais','Occasionnellement','Jamais','1'
'Femme','Caucasien',24,54,154,'Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Plusieurs fois par jour','Une fois par jour','Une fois par jour','Occasionnellement','Jamais','Occasionnellement','Occasionnellement','Jamais','Jamais','Plusieurs fois par semaine','1'
'Homme','Caucasien',52,76,175,'Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par semaine','Une fois par jour','Occasionnellement','Occasionnellement','Jamais','Occasionnellement','Occasionnellement','Jamais','Occasionnellement','Occasionnellement','1'
