@relation aux
@attribute Observation_number {'1','2','3','4','5','6','7'}
@attribute Hospital_identification_number_for_blood_sample numeric
@attribute Age_of_patient numeric
@attribute Date_that_blood_sample_was_taken numeric
@attribute ml numeric
@attribute m2 numeric
@attribute m3 numeric
@attribute m4 numeric
@attribute class {'1','2'}
@data
'1',782,35,70078,51,70,16.6,146,'2'
'2',909,36,20079,30,66.7,15.3,124,'2'
'3',1247,36,70079,23,66.3,4.4,142,'2'
'1',943,33,40079,67,98,9.3,225,'2'
'1',804,27,90078,50,69,15.1,160,'2'
'2',942,27,30079,92,68,16.5,115,'2'
'1',1305,36,100079,55,78.2,21.8,188,'2'
'1',765,25,60078,38,82,15.8,161,'2'
'1',657,27,100077,22,99,10.8,?,'2'
'1',918,33,30079,27,100,10.3,169,'2'
'1',673,26,120077,28,93.5,7,?,'2'
'1',790,22,80078,34,84,12,175,'2'
'2',908,23,20079,44,81.3,10.5,159,'2'
'3',1244,25,70079,32,86.5,6.7,149,'2'
'1',1298,22,100079,35,59.4,11.3,130,'2'
'1',949,31,50079,35,90,15.3,124,'2'
'1',791,33,80078,31,75.5,13.7,160,'2'
'2',824,33,110078,25,78.9,12.2,127,'2'
'1',1003,27,60079,52,77,17.9,198,'2'
'1',819,30,100078,34,75,15.4,171,'2'
'1',1292,20,100079,53,93.2,22.3,349,'2'
'1',914,30,20079,69,66.7,8.7,119,'2'
'2',1220,30,70079,25,70.5,5.3,123,'2'
'1',989,27,50079,24,89.5,16.1,176,'2'
'1',1281,35,80079,21,108.5,9.8,148,'2'
'1',768,26,60078,51,82,12.9,149,'2'
'2',1011,27,60079,37,77.3,3.9,141,'2'
'1',771,24,70078,24,82,14.2,123,'2'
'2',910,25,20079,30,77,16.2,124,'2'
'3',1245,26,70079,34,81.3,9.7,158,'2'
'1',802,20,90078,22,102,10.3,177,'2'
'1',1295,22,100079,32,79.2,5.8,190,'2'
'1',675,38,120077,45,108,13.7,?,'2'
'1',1294,34,100079,24,70.4,10.6,181,'2'
'1',781,22,70078,20,72,11.9,110,'2'
'1',762,22,60078,34,91,14.5,144,'2'
'1',1290,24,90079,25,92,14,166,'2'
'1',831,38,120078,26,109,8.9,163,'2'
'2',896,39,10079,28,102.3,17.1,146,'2'
'3',919,39,30079,21,92.4,10.3,197,'2'
'4',927,39,30079,23,111.5,10,133,'2'
'5',940,39,40079,26,92.6,12.3,196,'2'
'6',947,39,40079,25,98.7,10,174,'2'
'7',1010,39,60079,21,93.2,5.9,181,'2'
'1',899,32,20079,56,72,9.9,227,'2'
'2',1303,34,100079,48,83,13.7,228,'2'
'1',763,22,60078,51,91,12.7,149,'2'
'1',926,39,30079,18,95,11.3,66,'2'
'1',1252,33,70079,28.8,104,6.9,169,'2'
'1',1310,33,110079,41,105.5,15.1,252,'2'
'1',1017,20,60079,40,81,6.1,167,'2'
'1',776,22,70078,21,74.5,12.2,163,'2'
'1',901,25,20078,95,69.8,7.3,169,'2'
'2',1009,25,60079,59,72.5,10.7,314,'2'
'1',913,36,20079,40,72.7,7,131,'2'
'2',1260,36,80079,30,79.5,11.9,130,'2'
'1',767,22,60078,48,76,16.6,133,'2'
'1',1019,39,60079,39,88.5,7.6,168,'2'
'1',936,30,30079,30,82.7,18.1,124,'2'
'1',1261,37,70079,38,85,21.6,198,'2'
'1',929,27,30079,27,87.2,12.5,99,'2'
'2',1254,28,70079,32,76.3,5.6,159,'2'
'1',911,29,20079,74,80.4,8.9,207,'2'
'2',1015,30,60079,33,86,3.8,149,'2'
'1',777,31,70078,34,80.5,11.1,149,'2'
'2',904,31,20079,45,86.5,10.8,169,'2'
'3',1021,32,60079,52,79,10.7,187,'2'
'1',789,32,70078,28,82.5,17.4,144,'2'
'2',829,32,120078,35,97,14.5,137,'2'
'1',764,25,60078,37,93,15.3,167,'2'
'2',907,26,20079,44,81.3,15.3,166,'2'
'3',1014,26,60079,68,82.8,11.9,177,'2'
'1',811,37,100078,97.5,34,12,203,'2'
'1',785,25,70078,37,98,16.4,198,'2'
'2',1217,25,70079,34,92,12.1,217,'2'
'1',766,20,60078,30,80,12.9,129,'2'
'1',770,25,60078,37,98,11.7,177,'2'
'2',682,24,100077,26,94.2,11.7,?,'2'
'1',798,34,90078,24,100.5,14,231,'2'
'1',942,32,40079,41,78.5,10.9,191,'2'
'2',1024,32,60079,43,87.5,6,136,'2'
'1',810,32,100078,30,90.5,15.3,136,'2'
'2',1258,33,70079,30,85,11.4,176,'2'
'3',1300,33,100079,43,88.5,20.3,175,'2'
