@relation aux
@attribute Lottery.pick.1970 numeric
@attribute Lottery.pick.1971 numeric
@attribute Month {'1','2','3','4','5','6','7','8','9','10','11','12'}
@attribute Month.ordered.picks.1970 {'1','2','3','4','5','6','7','8','9','10','11','12'}
@attribute class {'1','2'}
@data
222,215,'6','6','2'
353,154,'6','2','2'
209,217,'6','11','2'
93,104,'7','5','2'
350,322,'7','9','2'
115,30,'7','11','1'
279,59,'7','1','2'
188,287,'7','7','2'
327,164,'7','7','1'
50,365,'7','2','2'
13,106,'7','7','2'
277,1,'7','4','2'
284,158,'7','10','2'
248,174,'7','7','2'
15,257,'7','1','2'
42,349,'7','9','1'
331,156,'7','10','2'
322,273,'7','5','2'
120,284,'7','8','2'
98,341,'7','1','2'
190,90,'7','3','2'
227,316,'7','10','2'
187,120,'7','10','2'
27,356,'7','11','2'
153,282,'7','9','2'
172,172,'7','2','2'
23,360,'7','6','2'
67,3,'7','9','2'
303,47,'7','4','2'
289,85,'7','6','2'
88,190,'7','2','2'
270,4,'7','1','1'
287,15,'7','2','2'
193,221,'7','3','2'
111,326,'8','2','2'
45,102,'8','1','2'
261,279,'8','2','2'
145,300,'8','3','2'
54,64,'8','4','2'
114,251,'8','4','2'
168,263,'8','10','2'
48,49,'8','1','2'
106,125,'8','6','2'
21,359,'8','3','2'
324,230,'8','1','2'
142,320,'8','9','2'
307,58,'8','5','2'
198,103,'8','7','2'
102,270,'8','6','2'
44,329,'8','10','2'
154,343,'8','11','2'
141,109,'8','4','2'
311,83,'8','9','2'
344,69,'8','9','2'
291,50,'8','10','2'
339,250,'8','1','2'
116,10,'8','2','2'
36,274,'8','10','2'
286,364,'8','1','2'
245,91,'8','3','2'
352,232,'8','12','2'
167,248,'8','10','2'
61,32,'8','9','2'
333,167,'8','10','2'
11,275,'8','10','2'
225,283,'9','8','2'
161,161,'9','9','2'
49,183,'9','6','2'
232,231,'9','7','2'
82,295,'9','6','2'
6,21,'9','5','2'
8,265,'9','1','2'
184,108,'9','4','2'
263,313,'9','4','2'
71,130,'9','10','2'
158,288,'9','9','2'
242,314,'9','3','2'
175,238,'9','9','2'
1,247,'9','3','2'
113,291,'9','3','2'
207,139,'9','4','2'
255,200,'9','8','2'
246,333,'9','4','2'
177,228,'9','9','2'
63,261,'9','10','2'
204,68,'9','3','2'
160,88,'9','11','2'
119,206,'9','3','2'
195,237,'9','3','2'
149,107,'9','4','2'
18,93,'9','7','2'
233,338,'9','4','2'
257,309,'9','6','2'
151,303,'9','4','2'
315,18,'9','6','2'
359,306,'10','3','2'
125,191,'10','5','2'
244,134,'10','7','1'
202,266,'10','5','2'
24,166,'10','7','2'
87,78,'10','1','2'
234,131,'10','11','2'
283,45,'10','11','2'
342,302,'10','10','2'
220,160,'10','7','2'
237,84,'10','2','1'
72,70,'10','8','2'
138,92,'10','7','2'
294,115,'10','10','2'
171,310,'10','7','2'
254,34,'10','2','2'
288,290,'10','8','2'
5,340,'10','2','2'
241,74,'10','3','2'
192,196,'10','10','2'
243,5,'10','5','2'
117,36,'10','5','2'
201,339,'10','2','2'
196,149,'10','5','2'
176,17,'10','2','2'
7,184,'10','3','2'
264,318,'10','6','2'
94,28,'10','2','2'
229,259,'10','7','2'
38,332,'10','12','2'
79,311,'10','1','2'
19,243,'11','1','2'
34,205,'11','8','2'
348,294,'11','5','2'
266,39,'11','11','2'
310,286,'11','11','2'
76,245,'11','8','2'
51,72,'11','4','2'
97,119,'11','5','2'
80,176,'11','12','2'
282,63,'11','9','2'
46,123,'11','4','2'
66,255,'11','3','2'
126,272,'11','1','2'
127,11,'11','5','2'
131,362,'11','12','2'
107,197,'11','5','2'
143,6,'11','7','2'
146,280,'11','3','2'
203,252,'11','8','2'
185,98,'11','1','2'
156,35,'11','5','2'
9,253,'11','7','2'
182,193,'11','12','2'
230,81,'11','1','2'
132,23,'11','5','1'
309,52,'11','7','2'
47,168,'11','3','2'
281,324,'11','8','2'
99,100,'11','3','2'
174,67,'11','6','2'
129,347,'12','4','1'
328,321,'12','1','2'
157,110,'12','2','2'
165,305,'12','8','2'
56,27,'12','4','2'
10,198,'12','6','2'
12,162,'12','10','2'
105,323,'12','3','2'
43,114,'12','8','2'
41,204,'12','4','2'
39,73,'12','4','1'
314,19,'12','2','2'
163,151,'12','11','2'
26,348,'12','1','2'
320,87,'12','7','2'
96,41,'12','4','2'
304,315,'12','8','2'
128,208,'12','6','2'
240,249,'12','3','2'
135,218,'12','1','2'
70,181,'12','6','2'
53,194,'12','5','2'
162,219,'12','6','2'
95,2,'12','10','2'
84,361,'12','6','2'
173,80,'12','5','2'
78,239,'12','3','2'
123,128,'12','2','2'
16,145,'12','5','2'
3,192,'12','2','2'
100,126,'12','6','1'
